Species,Common English Name,Scientific name
BITH,Bicknell's Thrush,Catharus bicknelli
OVEN,Ovenbird,Seiurus aurocapilla
BTBW,Black-throated Blue Warbler,Setophaga caerulescens
BFGR,Black-faced Grassquit,Tiaris bicolor
GTGT,Green-tailed Ground-Tanager,Microligea palustris
NBTO,Narrow-billed Tody,Todus angustirostris
RTSO,Rufous-throated Solitaire,Myadestes genibarbis
HHTA,Hispaniolan Highland-Tanager,Xenoligea montana
BAWW,Black-and-white Warbler,Mniotilta varia
BCPT,Black-crowned Palm-Tanager,Phaenicophilus palmarum
GABU,Greater Antillean Bullfinch,Loxigilla violacea
GAEL,Greater Antillean Elaenia,Elaenia fallax
HIEM,Hispaniolan Emerald,Chlorostilbon swainsonii
HITR,Hispaniolan Trogon,Priotelus roseigaster
RLTH,Red-legged Thrush,Turdus plumbeus
HISP,Hispaniolan Spindalis,Spindalis dominicensis
WCHT,Western Chat-Tanager,Calyptophilus tertius
COYE,Common Yellowthroat,Geothlypis trichas
RHQD,Ruddy Quail-Dove,Geotrygon montana
SSHA,Sharp-shinned Hawk,Accipiter striatus
AMRE,American Redstart,Setophaga ruticilla
HIPE,Hispaniolan Pewee,Contopus hispaniolensis
LATH,La Selle Thrush,Turdus swalesi
RNPI,Scaly-naped Pigeon,Patagioenas squamosa
WFQD,White-fronted Quail-Dove,Geotrygon leucometopia
HIWO,Hispaniolan Woodpecker,Melanerpes striatus
BANA,Bananaquit,Coereba flaveola
WEWA,Worm-eating Warbler,Helmitheros vermivorum
SWWA,Swainson's Warbler,Limnothlypis swainsonii
PIWA,Pine Warbler,Setophaga pinus
ANMA,Antillean Mango,Anthracothorax dominicus
HILC,Hispaniolan Lizard-Cuckoo,Saurothera longirostris
HIPK,Hispaniolan Parakeet,Aratinga chloroptera
GRCA,Gray Catbird,Dumetella carolinensis
MYWA,Yellow-rumped Warbler,Setophaga coronata
KEWA,Kentucky Warbler,Geothlypis formosa
