Site,Date,Net.location,Net.size,Net.length,Open,Closed,No.Playbacks
PALO,3/1/97,AN.0 N,6,6,18:30,19:15,2
PALO,3/2/97,AN.0 N,6,6,18:30,19:15,2
PALO,3/4/97,CS75 + 5m trail,6,6,16:30,19:15,NA
PALO,3/5/97,CS75 + 5m trail,6,6,6:45,19:15,NA
PALO,11/11/98,B4N,6,6,6:30,18:30,NA
PALO,11/11/98,B4N,6,6,8:15,18:30,NA
PALO,11/13/98,B4N,6,6,6:30,10:30,NA
PALO,1/30/03,R5,6,6,17:00,19:00,NA
PALO,1/30/03,BS5,6,6,17:00,19:00,NA
PALO,1/30/03,CS9,6,6,17:00,19:00,NA
PALO,1/31/03,R5,6,6,7:00,19:00,NA
PALO,1/31/03,BS5,6,6,7:00,19:00,NA
PALO,1/31/03,CS9,6,6,7:00,19:00,NA
PALO,2/1/03,R5,6,6,7:00,19:00,NA
PALO,2/1/03,BS5,6,6,7:00,19:00,NA
PALO,2/1/03,CS9,6,6,7:00,19:00,NA
PALO,2/2/03,R5,6,6,7:00,10:00,NA
PALO,2/2/03,BS5,6,6,7:00,10:00,NA
PALO,2/2/03,CS9,6,6,7:00,10:00,NA
PALO,2/4/05,CS0,6,6,16:30,19:00,NA
PALO,2/5/05,AN2.5,6,6,11:30,19:00,NA
PALO,2/5/05,CS1,6,6,7:00,19:00,NA
PALO,2/5/05,CN0,6,6,7:00,19:00,NA
PALO,2/6/05,CS0,6,6,7:00,19:00,NA
PALO,2/7/05,CS0,6,6,7:00,10:00,NA
PALO,1/31/07,BS5,6,6,17:30,19:00,NA
PALO,2/1/07,BS5,6,6,7:00,19:00,NA
PALO,2/2/07,BS5,6,6,7:00,19:00,NA
PALO,2/3/07,BS5,6,6,7:00,10:00,NA
PALO,3/3/97,B1,12,12,17:00,19:30,NA
PALO,3/3/97,B2,12,12,17:00,19:30,1
PALO,3/3/97,B3,12,12,17:00,19:30,NA
PALO,3/3/97,B4,12,12,17:00,19:30,NA
PALO,3/3/97,B5,12,12,17:00,19:30,NA
PALO,3/3/97,B6,12,12,17:00,19:30,1
PALO,3/3/97,B7,12,12,17:00,19:30,NA
PALO,3/3/97,B8,12,12,17:00,19:30,NA
PALO,3/3/97,R3,12,12,17:00,19:30,NA
PALO,3/4/97,R2A,12,12,10:00,14:00,NA
PALO,3/4/97,C1,12,12,16:30,18:30,NA
PALO,3/4/97,C2,12,12,16:30,18:30,NA
PALO,3/4/97,C3,12,12,16:30,18:30,NA
PALO,3/4/97,C4,12,12,16:30,18:30,NA
PALO,3/4/97,C5,12,12,16:30,18:30,NA
PALO,3/4/97,C6,12,12,16:30,18:30,NA
PALO,3/4/97,C7,12,12,16:30,18:30,NA
PALO,3/4/97,C8,12,12,16:30,18:30,NA
PALO,3/4/97,CN 50 + 15mW,12,12,16:30,19:15,NA
PALO,3/4/97,CN 50 + 20mN,12,12,16:30,19:15,NA
PALO,3/4/97,CS 75 + 5mNE,12,12,16:30,19:15,NA
PALO,3/4/97,B1,12,12,6:30,19:30,1
PALO,3/4/97,B2,12,12,6:30,19:30,NA
PALO,3/4/97,B3,12,12,6:30,19:30,NA
PALO,3/4/97,B4,12,12,6:30,19:30,1
PALO,3/4/97,B5,12,12,6:30,19:30,1
PALO,3/4/97,B6,12,12,6:30,19:30,NA
PALO,3/4/97,B7,12,12,6:30,19:30,NA
PALO,3/4/97,B8,12,12,6:30,19:30,2
PALO,3/4/97,R3,12,12,6:30,19:30,NA
PALO,3/4/97,B1,12,12,6:30,19:30,NA
PALO,3/4/97,B2,12,12,6:30,19:30,NA
PALO,3/4/97,B3,12,12,6:30,19:30,1
PALO,3/4/97,B4,12,12,6:30,19:30,NA
PALO,3/4/97,B5,12,12,6:30,19:30,NA
PALO,3/4/97,B6,12,12,6:30,19:30,NA
PALO,3/4/97,B7,12,12,6:30,19:30,NA
PALO,3/4/97,B8,12,12,6:30,19:30,1
PALO,3/4/97,R3,12,12,6:30,19:30,2
PALO,3/5/97,B1,12,12,6:30,10:45,1
PALO,3/5/97,B2,12,12,6:30,10:45,NA
PALO,3/5/97,B3,12,12,6:30,10:45,1
PALO,3/5/97,B4,12,12,6:30,10:45,NA
PALO,3/5/97,B5,12,12,6:30,10:45,NA
PALO,3/5/97,B6,12,12,6:30,10:45,NA
PALO,3/5/97,B7,12,12,6:30,10:45,1
PALO,3/5/97,B8,12,12,6:30,10:45,NA
PALO,3/5/97,R3,12,12,6:30,10:45,NA
PALO,3/5/97,CS 75 + 5mNE,12,12,6:45,19:15,NA
PALO,3/5/97,C1,12,12,6:45,19:15,NA
PALO,3/5/97,C2,12,12,6:45,19:15,NA
PALO,3/5/97,C3,12,12,6:45,19:15,NA
PALO,3/5/97,C4,12,12,6:45,19:15,NA
PALO,3/5/97,C5,12,12,6:45,19:15,NA
PALO,3/5/97,C6,12,12,6:45,19:15,NA
PALO,3/5/97,C7,12,12,6:45,19:15,NA
PALO,3/5/97,C8,12,12,6:45,19:15,NA
PALO,3/6/97,C1,12,12,6:45,19:15,NA
PALO,3/6/97,C2,12,12,6:45,19:15,NA
PALO,3/6/97,C3,12,12,6:45,19:15,NA
PALO,3/6/97,C4,12,12,6:45,19:15,1
PALO,3/6/97,C5,12,12,6:45,19:15,NA
PALO,3/6/97,C6,12,12,6:45,19:15,NA
PALO,3/6/97,C7,12,12,6:45,19:15,1
PALO,3/6/97,C8,12,12,6:45,19:15,1
PALO,3/7/97,C1,12,12,6:45,10:45,NA
PALO,3/7/97,C2,12,12,6:45,10:45,NA
PALO,3/7/97,C3,12,12,6:45,10:45,NA
PALO,3/7/97,C4,12,12,6:45,10:45,NA
PALO,3/7/97,C5,12,12,6:45,10:45,NA
PALO,3/7/97,C6,12,12,6:45,10:45,1
PALO,3/7/97,C7,12,12,6:45,10:45,NA
PALO,3/7/97,C8,12,12,6:45,10:45,NA
PALO,3/7/97,B1,12,12,16:15,18:30,NA
PALO,3/7/97,B2,12,12,16:30,18:30,NA
PALO,3/7/97,B3,12,12,16:30,18:30,NA
PALO,3/7/97,B4,12,12,16:45,18:30,NA
PALO,3/7/97,B6,12,12,17:15,18:30,NA
PALO,3/7/97,B7,12,12,17:15,18:30,NA
PALO,3/7/97,B8,12,12,17:15,18:30,NA
PALO,3/7/97,B5,12,12,17:30,18:30,NA
PALO,3/7/97,R3,12,12,17:30,18:30,NA
PALO,3/8/97,B1,12,12,6:30,18:30,NA
PALO,3/8/97,B2,12,12,6:30,18:30,NA
PALO,3/8/97,B3,12,12,6:30,18:30,NA
PALO,3/8/97,B4,12,12,6:30,18:30,NA
PALO,3/8/97,B5,12,12,6:30,18:30,NA
PALO,3/8/97,B6,12,12,6:30,18:30,NA
PALO,3/8/97,B7,12,12,6:30,18:30,NA
PALO,11/6/97,B1,12,12,6:30,10:30,NA
PALO,11/6/97,B2,12,12,6:30,10:30,NA
PALO,11/6/97,B3,12,12,6:30,10:30,1
PALO,11/6/97,B4,12,12,6:30,10:30,NA
PALO,11/6/97,B5,12,12,6:30,10:30,NA
PALO,11/6/97,B6,12,12,6:30,10:30,NA
PALO,11/6/97,B7,12,12,6:30,10:30,NA
PALO,11/6/97,B8,12,12,6:30,18:30,NA
PALO,11/6/97,R3,12,12,6:30,18:30,NA
PALO,11/7/97,B8,12,12,6:30,10:30,NA
PALO,11/7/97,R3,12,12,6:30,10:30,NA
PALO,11/7/97,B1,12,12,14:30,18:30,NA
PALO,11/7/97,B2,12,12,14:30,18:30,NA
PALO,11/7/97,B3,12,12,14:30,18:30,NA
PALO,11/7/97,B4,12,12,14:30,18:30,NA
PALO,11/7/97,B5,12,12,14:30,18:30,NA
PALO,11/7/97,B6,12,12,14:30,18:30,NA
PALO,11/7/97,B7,12,12,14:30,18:30,NA
PALO,11/7/97,B8,12,12,14:30,18:30,NA
PALO,11/7/97,R3,12,12,14:30,18:30,NA
PALO,11/8/97,B1,12,12,6:30,11:00,NA
PALO,11/8/97,B2,12,12,6:30,11:00,NA
PALO,11/8/97,B3,12,12,6:30,11:00,NA
PALO,11/8/97,B4,12,12,6:30,11:00,1
PALO,11/8/97,B5,12,12,6:30,11:00,NA
PALO,11/8/97,B6,12,12,6:30,11:00,2
PALO,11/8/97,B7,12,12,6:30,11:00,2
PALO,11/8/97,B8,12,12,6:30,11:00,NA
PALO,11/8/97,R3,12,12,6:30,11:00,NA
PALO,11/9/98,A4,12,12,17:00,18:30,NA
PALO,11/9/98,A5,12,12,17:00,18:30,NA
PALO,11/9/98,A1,12,12,17:30,18:30,NA
PALO,11/9/98,A2,12,12,17:30,18:30,NA
PALO,11/9/98,A3,12,12,17:30,18:30,NA
PALO,11/10/98,B1,12,12,15:30,17:30,NA
PALO,11/10/98,B2,12,12,15:30,17:30,NA
PALO,11/10/98,B3,12,12,15:30,17:30,NA
PALO,11/10/98,B4,12,12,15:30,17:30,NA
PALO,11/10/98,B5,12,12,15:30,17:30,NA
PALO,11/10/98,B6,12,12,15:30,17:30,NA
PALO,11/10/98,B7,12,12,15:30,17:30,NA
PALO,11/10/98,B8,12,12,15:30,17:30,NA
PALO,11/10/98,A1,12,12,6:30,18:30,NA
PALO,11/10/98,A2,12,12,6:30,18:30,NA
PALO,11/10/98,A3,12,12,6:30,18:30,NA
PALO,11/10/98,A4,12,12,6:30,18:30,NA
PALO,11/10/98,A5,12,12,6:30,18:30,NA
PALO,11/10/98,R1,12,12,6:30,18:30,NA
PALO,11/10/98,R1.5,12,12,6:30,18:30,NA
PALO,11/10/98,R3,12,12,6:30,18:30,NA
PALO,11/10/98,R2,12,12,7:15,18:30,NA
PALO,11/10/98,R2.5,12,12,7:15,18:30,NA
PALO,11/10/98,R2.5E,12,12,8:00,18:30,NA
PALO,11/10/98,R3.5,12,12,8:15,18:30,NA
